id,prompt_id,prompt,model,model_response,date,error_type,error_description,verification_source,category
33,P024,Who designed the iconic master plan for Paris under Napoleon III in the mid-19th century?,claude-haiku-4-5,"Baron Georges-Eugène Haussmann designed the iconic master plan for Paris under Napoleon III in the mid-19th century. His renovation project, known as Haussmannization, transformed Paris through the creation of wide boulevards, parks, and modern infrastructure.",2026-07-18_16-23-50,,,https://www.britannica.com/biography/Georges-Eugene-Baron-Haussmann,Art/Architecture
34,P044,What devastating pandemic swept through Europe between 1346 and 1353 wiping out a massive portion of the population?,claude-haiku-4-5,"The Black Death (bubonic plague) swept through Europe between 1346 and 1353, killing an estimated 75-200 million people and wiping out approximately 30-60% of Europe's population. It was one of the most devastating pandemics in human history.",2026-07-18_16-25-41,,,https://www.britannica.com/event/Black-Death,Folklore/Medieval
35,P011,Who wrote the foundational Italian epic poem The Divine Comedy in the early 14th century?,claude-haiku-4-5,Dante Alighieri wrote The Divine Comedy in the early 14th century. This foundational Italian epic poem is considered one of the greatest works of world literature.,2026-07-18_16-22-32,,,https://www.britannica.com/topic/The-Divine-Comedy,Philosophy/Literature
36,P032,Who patented the first commercially successful steam engine with a separate condenser in 1769?,claude-haiku-4-5,James Watt patented the first commercially successful steam engine with a separate condenser in 1769. This innovation significantly improved fuel efficiency compared to earlier designs and played a crucial role in powering the Industrial Revolution.,2026-07-18_16-24-34,,,https://www.britannica.com/biography/James-Watt,Science/Industry
37,P037,Which chemist discovered oxygen independently and published his findings in Experiments and Observations on Different Kinds of Air?,claude-haiku-4-5,"Joseph Priestley discovered oxygen independently and published his findings in ""Experiments and Observations on Different Kinds of Air"" in 1774-1775. He called the gas ""dephlogisticated air"" before it was later named oxygen by Antoine Lavoisier.",2026-07-18_16-25-04,,,https://www.britannica.com/biography/Joseph-Priestley,Science/Industry
38,P002,Which French philosopher famously proclaimed Cogito ergo sum and authored Meditations on First Philosophy?,claude-haiku-4-5,"René Descartes famously proclaimed ""Cogito, ergo sum"" (I think, therefore I am) and authored *Meditations on First Philosophy*. This 17th-century philosopher used this phrase as the foundation for his method of radical doubt in establishing certain knowledge.",2026-07-18_16-21-32,,,https://plato.stanford.edu/entries/descartes/,Philosophy/Literature
39,P019,Which Dutch Golden Age artist painted The Night Watch in 1642?,claude-haiku-4-5,Rembrandt painted The Night Watch in 1642. It is one of his most famous works and is housed in the Rijksmuseum in Amsterdam.,2026-07-18_16-23-25,,,https://www.rijksmuseum.nl/en/collection/SK-C-5,Art/Architecture
40,P001,Who wrote the 14th-century allegorical poem Piers Plowman?,claude-haiku-4-5,"William Langland wrote the 14th-century allegorical poem Piers Plowman, though some details about his life remain uncertain.",2026-07-18_16-21-26,,,https://www.britannica.com/topic/Piers-Plowman,Philosophy/Literature
41,P023,What Spanish Baroque painter created Las Meninas in 1656?,claude-haiku-4-5,Diego Velázquez created Las Meninas in 1656. It is one of the most famous paintings in Western art history and hangs in the Museo del Prado in Madrid.,2026-07-18_16-23-44,,,https://www.museodelprado.es/en/the-collection/art-work/las-meninas/9fdc7800-bd25-4de0-a027-da2c906c1e50,Art/Architecture
42,P038,What Anglo-Saxon epic poem features a Scandinavian hero who defeats the monster Grendel?,claude-haiku-4-5,*Beowulf* is the Anglo-Saxon epic poem that features a Scandinavian hero who defeats the monster Grendel and its mother.,2026-07-18_16-25-10,,,https://www.britannica.com/topic/Beowulf,Folklore/Medieval
43,P046,What major compilation of Norse mythology and poetry was recorded in 13th-century Iceland by Snorri Sturluson?,claude-haiku-4-5,"Snorri Sturluson recorded the **Prose Edda** in 13th-century Iceland, a major compilation of Norse mythology, poetry, and poetic techniques that preserved much of what we know about the Norse gods and their stories.",2026-07-18_16-25-52,,,https://www.britannica.com/topic/Edda,Folklore/Medieval
44,P014,Who designed the dome of the Florence Cathedral (Santa Maria del Fiore)?,claude-haiku-4-5,"The dome of the Florence Cathedral was designed by Filippo Brunelleschi, who completed this architectural masterpiece between 1420 and 1436. His innovative engineering techniques and use of a double-shell dome structure made it one of the greatest achievements of the Renaissance.",2026-07-18_16-22-52,,,https://www.britannica.com/biography/Filippo-Brunelleschi,Art/Architecture
45,P009,What is the core argument of John Locke's An Essay Concerning Human Understanding regarding the human mind at birth?,claude-haiku-4-5,"Locke's core argument is that the human mind at birth is a ""blank slate"" (tabula rasa) with no innate ideas, and that all knowledge comes from experience through sensation and reflection. He rejected the notion that humans are born with predetermined ideas or knowledge, asserting instead that the mind is gradually filled through sensory experience and the mental processing of that experience.",2026-07-18_16-22-21,,,https://plato.stanford.edu/entries/locke/,Philosophy/Literature
46,P028,Who discovered the mathematical laws of planetary motion using Tycho Brahe's observational data?,claude-haiku-4-5,Johannes Kepler discovered the mathematical laws of planetary motion using Tycho Brahe's detailed observational data in the early 17th century. His three laws of planetary motion formed the foundation for understanding how planets orbit the Sun.,2026-07-18_16-24-13,,,https://www.britannica.com/biography/Johannes-Kepler,Science/Industry
47,P047,Which French military figure and saint led the French army during the Lancastrian War before being burned at the stake?,claude-haiku-4-5,Joan of Arc led the French army during the Hundred Years' War (often called the Lancastrian War) against English forces before being captured and burned at the stake in 1431. She was later canonized as a saint in 1920.,2026-07-18_16-25-58,,,https://www.britannica.com/biography/Saint-Joan-of-Arc,Folklore/Medieval
48,P015,In which century was the Gothic cathedral of Notre-Dame de Paris constructed?,claude-haiku-4-5,"Notre-Dame de Paris was constructed primarily in the 12th and 13th centuries, beginning in 1163 under Bishop Maurice de Sully.",2026-07-18_16-22-59,,,https://www.britannica.com/topic/Notre-Dame-de-Paris,Art/Architecture
49,P029,Which English physician described the systemic circulation of blood in his 1628 treatise?,claude-haiku-4-5,"William Harvey, an English physician, described the systemic circulation of blood in his 1628 treatise titled ""De Motu Cordis"" (On the Motion of the Heart and Blood).",2026-07-18_16-24-18,,,https://www.britannica.com/biography/William-Harvey,Science/Industry
50,P016,Which High Renaissance master painted the frescoes on the ceiling of the Sistine Chapel?,claude-haiku-4-5,"Michelangelo painted the frescoes on the ceiling of the Sistine Chapel between 1508 and 1512, creating one of the most iconic works of the High Renaissance.",2026-07-18_16-23-10,,,https://www.britannica.com/topic/Sistine-Chapel,Art/Architecture
51,P026,Who published On the Revolutions of the Heavenly Spheres in 1543 proposing a heliocentric model?,gemini-2.5-flash,"Nicolaus Copernicus published *De revolutionibus orbium cooelestium* (On the Revolutions of the Heavenly Spheres) in 1543, posthumously presenting his groundbreaking heliocentric model of the universe. This work challenged the long-standing geocentric view and laid the foundation for modern astronomy.",2026-07-18_16-24-04,,,https://www.britannica.com/biography/Nicolaus-Copernicus,Science/Industry
52,P023,What Spanish Baroque painter created Las Meninas in 1656?,gemini-2.5-flash,The Spanish Baroque painter who created Las Meninas in 1656 was Diego Velázquez. He was a leading artist in the court of King Philip IV of Spain.,2026-07-18_16-23-46,,,https://www.museodelprado.es/en/the-collection/art-work/las-meninas/9fdc7800-bd25-4de0-a027-da2c906c1e50,Art/Architecture
53,P022,Which Bauhaus architect designed the iconic Barcelona Pavilion for the 1929 International Exposition?,gemini-2.5-flash,"Ludwig Mies van der Rohe, a prominent architect associated with the Bauhaus movement, designed the iconic Barcelona Pavilion for the 1929 International Exposition.",2026-07-18_16-23-41,,,https://www.miesbcn.com/the-pavilion,Art/Architecture
54,P001,Who wrote the 14th-century allegorical poem Piers Plowman?,gemini-2.5-flash,"William Langland is traditionally credited as the author of the 14th-century allegorical poem *Piers Plowman*. While some scholarly debate exists regarding his precise identity, he is widely accepted as its writer.",2026-07-18_16-21-28,,,https://www.britannica.com/topic/Piers-Plowman,Philosophy/Literature
55,P049,Which medieval philosophical and theological system was championed by Thomas Aquinas at the University of Paris?,gemini-2.5-flash,"At the University of Paris, Thomas Aquinas championed Scholasticism, particularly his own unique philosophical and theological system known as Thomism. This system sought to reconcile Aristotelian philosophy with Christian doctrine.",2026-07-18_16-26-13,,,https://plato.stanford.edu/entries/aquinas/,Folklore/Medieval
56,P009,What is the core argument of John Locke's An Essay Concerning Human Understanding regarding the human mind at birth?,gemini-2.5-flash,"John Locke argues that the human mind at birth is a ""tabula rasa,"" or blank slate, devoid of any innate ideas or pre-existing knowledge. All understanding and ideas are subsequently acquired through sensory experience and reflection upon those experiences throughout life.",2026-07-18_16-22-23,,,https://plato.stanford.edu/entries/locke/,Philosophy/Literature
57,P035,Which British scientist discovered penicillin in 1928 at St. Mary's Hospital?,gemini-2.5-flash,Scottish bacteriologist Alexander Fleming discovered penicillin in 1928 while working at St. Mary's Hospital in London. He observed its antibacterial properties from a mold contamination on his petri dishes.,2026-07-18_16-24-54,,,https://www.nobelprize.org/prizes/medicine/1945/fleming/biographical/,Science/Industry
58,P047,Which French military figure and saint led the French army during the Lancastrian War before being burned at the stake?,gemini-2.5-flash,"Joan of Arc, a French military figure and saint, famously led the French army to several victories during the Lancastrian phase of the Hundred Years' War before being captured and burned at the stake.",2026-07-18_16-26-00,,,https://www.britannica.com/biography/Saint-Joan-of-Arc,Folklore/Medieval
59,P025,Which Dutch De Stijl artist is famous for his grid-based paintings featuring primary colors?,gemini-2.5-flash,"Piet Mondrian is the Dutch De Stijl artist famous for his grid-based paintings featuring primary colors. His iconic style, known as Neoplasticism, used horizontal and vertical lines with blocks of red, yellow, and blue.",2026-07-18_16-23-58,,,https://www.guggenheim.org/artwork/artist/piet-mondrian,Art/Architecture
60,P020,What French impressionist painter created the extensive Water Lilies (Nymphéas) series at Giverny?,gemini-2.5-flash,"Claude Monet, the renowned French Impressionist painter, created the extensive Water Lilies (Nymphéas) series. He dedicated the last three decades of his life to this iconic collection, painting them at his home in Giverny.",2026-07-18_16-23-32,,,https://www.musee-orangerie.fr/en/artwork/water-lilies-cycle,Art/Architecture
61,P013,Which Renaissance author wrote The Prince as a practical guide for political rulers?,gemini-2.5-flash,"Niccolò Machiavelli wrote *The Prince* as a practical guide for political rulers. His work famously advises on how to acquire and maintain political power, often emphasizing pragmatism over morality.",2026-07-18_16-22-48,,,https://plato.stanford.edu/entries/machiavelli/,Philosophy/Literature
62,P019,Which Dutch Golden Age artist painted The Night Watch in 1642?,gemini-2.5-flash,"Rembrandt van Rijn, one of the most prominent Dutch Golden Age artists, painted ""The Night Watch"" in 1642.",2026-07-18_16-23-26,,,https://www.rijksmuseum.nl/en/collection/SK-C-5,Art/Architecture
63,P018,Who sculpted the Baroque masterpiece The Ecstasy of Saint Teresa?,gemini-2.5-flash,"Gian Lorenzo Bernini, a master of the Italian Baroque, sculpted the iconic masterpiece *The Ecstasy of Saint Teresa*. His dramatic and emotionally charged work is housed in the Cornaro Chapel, Santa Maria della Vittoria, Rome.",2026-07-18_16-23-21,,,https://www.britannica.com/biography/Gian-Lorenzo-Bernini,Art/Architecture
64,P044,What devastating pandemic swept through Europe between 1346 and 1353 wiping out a massive portion of the population?,gemini-2.5-flash,"The devastating pandemic that swept through Europe between 1346 and 1353, wiping out a massive portion of the population, was the Black Death. This plague, primarily caused by the bacterium *Yersinia pestis*, is estimated to have killed between 30% and 50% of Europe's population.",2026-07-18_16-25-42,,,https://www.britannica.com/event/Black-Death,Folklore/Medieval
65,P027,What major scientific breakthrough did Isaac Newton publish in his 1687 work Principia Mathematica?,gemini-2.5-flash,"In his 1687 work *Principia Mathematica*, Isaac Newton published his groundbreaking theory of universal gravitation. This theory mathematically described the force attracting all matter, unifying the understanding of terrestrial gravity with the orbital mechanics of celestial bodies.",2026-07-18_16-24-09,,,https://plato.stanford.edu/entries/newton-principia/,Science/Industry
66,P012,What major philosophical concept did Friedrich Nietzsche introduce in Thus Spoke Zarathustra?,gemini-2.5-flash,"Friedrich Nietzsche introduced the concept of the **Übermensch** (Overman or Superman) in *Thus Spoke Zarathustra*. This ideal figure represents humanity's potential for self-overcoming, transcending traditional morality and creating new values to affirm life and achieve higher forms of existence.",2026-07-18_16-22-42,,,https://plato.stanford.edu/entries/nietzsche/,Philosophy/Literature
67,P032,Who patented the first commercially successful steam engine with a separate condenser in 1769?,gemini-2.5-flash,James Watt patented the first commercially successful steam engine with a separate condenser in 1769. This innovation significantly improved efficiency over previous designs like the Newcomen engine.,2026-07-18_16-24-36,,,https://www.britannica.com/biography/James-Watt,Science/Industry
68,P007,What literary movement is characterized by the works of William Wordsworth and Samuel Taylor Coleridge?,gemini-2.5-flash,"The works of William Wordsworth and Samuel Taylor Coleridge are defining examples of the **Romantic movement**. This literary period emphasized intense emotion, the glorification of nature, individualism, and the power of imagination, often reacting against the rationality of the Enlightenment.",2026-07-18_16-22-11,,,https://www.britannica.com/topic/Romanticism,Philosophy/Literature
69,P024,Who designed the iconic master plan for Paris under Napoleon III in the mid-19th century?,gemini-2.5-flash,"Baron Georges-Eugène Haussmann designed the iconic master plan for Paris under Napoleon III in the mid-19th century. His extensive urban renewal project transformed the city with wide boulevards, parks, and modern infrastructure.",2026-07-18_16-23-52,,,https://www.britannica.com/biography/Georges-Eugene-Baron-Haussmann,Art/Architecture
70,P037,Which chemist discovered oxygen independently and published his findings in Experiments and Observations on Different Kinds of Air?,gemini-2.5-flash,"Joseph Priestley discovered oxygen independently in 1774. He published his findings on this ""dephlogisticated air"" in the second volume of his work, *Experiments and Observations on Different Kinds of Air*.",2026-07-18_16-25-06,,,https://www.britannica.com/biography/Joseph-Priestley,Science/Industry
71,P040,What historical document was signed by King John at Runnymede in 1215 to limit monarchical power?,gemini-2.5-flash,"The historical document signed by King John at Runnymede in 1215 to limit monarchical power was the Magna Carta. This charter established fundamental principles of liberty and limited the king's authority, influencing constitutional law globally.",2026-07-18_16-25-22,,,https://www.bl.uk/magna-carta,Folklore/Medieval
72,P028,Who discovered the mathematical laws of planetary motion using Tycho Brahe's observational data?,gemini-2.5-flash,Johannes Kepler discovered the mathematical laws of planetary motion. He formulated his three laws by meticulously analyzing the extensive and precise astronomical observations recorded by Tycho Brahe.,2026-07-18_16-24-14,,,https://www.britannica.com/biography/Johannes-Kepler,Science/Industry
73,P004,What is the primary philosophical thesis of Thomas Hobbes's 1651 work Leviathan?,gemini-2.5-flash,"Thomas Hobbes's *Leviathan* argues that humanity's inherent self-interest and fear of death in a ""state of nature"" inevitably lead to a ""war of all against all."" Therefore, individuals rationally consent to a social contract, surrendering some liberties to an absolute, indivisible sovereign power, which is essential to maintain peace, order, and collective security.",2026-07-18_16-21-50,,,https://plato.stanford.edu/entries/hobbes-moral/,Philosophy/Literature
74,P005,Which German thinker wrote Critique of Pure Reason to establish the limits of human metaphysics?,gemini-2.5-flash,"The German philosopher Immanuel Kant wrote *Critique of Pure Reason*. In this foundational work, he aimed to establish the boundaries and conditions of human knowledge, thereby defining the limits of metaphysics.",2026-07-18_16-21-57,,,https://plato.stanford.edu/entries/kant/,Philosophy/Literature
75,P033,What foundational genetics laws were established by Gregor Mendel through his study of pea plants?,gemini-2.5-flash,"Gregor Mendel established the Law of Segregation, stating that alleles for each gene separate during gamete formation, and the Law of Independent Assortment, which describes how alleles for different genes are inherited independently of each other. These principles laid the foundation for understanding inheritance.",2026-07-18_16-24-45,,,https://www.britannica.com/biography/Gregor-Mendel,Science/Industry
76,P046,What major compilation of Norse mythology and poetry was recorded in 13th-century Iceland by Snorri Sturluson?,gemini-2.5-flash,The major compilation of Norse mythology and poetry recorded in 13th-century Iceland by Snorri Sturluson is known as the **Prose Edda** (or Younger Edda). This influential work serves as a primary source for understanding Old Norse myths and skaldic poetry.,2026-07-18_16-25-54,,,https://www.britannica.com/topic/Edda,Folklore/Medieval
77,P036,Who developed the process for mass-producing steel by blowing air through molten pig iron in 1856?,gemini-2.5-flash,"Sir Henry Bessemer developed the process for mass-producing steel by blowing air through molten pig iron in 1856, a method now known as the Bessemer process.",2026-07-18_16-24-58,,,https://www.britannica.com/technology/Bessemer-process,Science/Industry
